Rating,Waktu,Teks_Mentah,Tanggal_Scrap
5,10 bulan lalu,"Nyaman, murah, banyak tempat, adem, bersih, akses mudah",2025-12-17
5,10 bulan lalu,"Syahdu banget disini. Cobain deh maen sekeluarga, terus bawa tiker sendiri, nongkrongnya di parkiran mobil sebelum loket masuk. Damai benerr kalo pas lagi sepi",2025-12-17
5,10 bulan lalu,Pemandangan yang sangat indah.,2025-12-17
4,10 bulan lalu,Adem,2025-12-17
5,11 bulan lalu,Bagus Nyaman Aman Sejuk Cocok untuk refresing,2025-12-17
5,11 bulan lalu,Sangat cocok untuk acara camping keluarga,2025-12-17
5,11 bulan lalu,"Tempatnya ngangenin.... Dari dulu tahun 1998 sudah sering camping. Tiketnya murah meriah, fasilitas cukup. Petugasnya ramah... Warung juga tersedia",2025-12-17
5,11 bulan lalu,Adem,2025-12-17
5,11 bulan lalu,"Nyaman, dingin, colokan listrik banyak, toilet memadai",2025-12-17
5,11 bulan lalu,"Salah satu destinasi bumi perkemahan terbaik. Suasana sekitar yang penuh dengan pepohonan rindang, mau sepanas apapun cuacanya bakal tetep sejuk. Tata ruang disini juga rapii banget, bersih, dan enak dipandang. 👏🏻 …",2025-12-17
5,11 bulan lalu,penasaran banget sama tempat ini,2025-12-17
5,setahun lalu,Sangat bagus buat perkemahana dengan wahana yang sunyi asik dan luar biasa,2025-12-17
5,setahun lalu,"Tempat sejuk, asri, harga tiket terjangkau",2025-12-17
4,setahun lalu,Spesial!,2025-12-17
4,setahun lalu,Ke perahu karet,2025-12-17
5,11 bulan lalu,"Salah satu destinasi bumi perkemahan terbaik. Suasana sekitar yang penuh dengan pepohonan rindang, mau sepanas apapun cuacanya bakal tetep sejuk. Tata ruang disini juga rapii banget, bersih, dan enak dipandang. 👏🏻 Kalo capek jalan kaki buat naiknya, bisaa nyewa jeep. Fasilitas juga lengkap, kamar mandi sampai mushola pun adaa.  Cocok buat sekedar refreshing atau bahkan camping bareng keluarga. Bisa juga nih buat yang mau ngadain acaraa, dijamin hepi disini. 🙌🏻",2025-12-17
5,setahun lalu,"CAMP Wenak! Kamar mandi banyak, listrik ada, pinusnya ademmm weekend rame pwol, kalau mau tenang di weekdays",2025-12-17
5,setahun lalu,04/11/2024 WGC,2025-12-17
5,setahun lalu,"saya sangat senang camp disini tempat nya bagus ,nyaman ,fasilitas ok . listrik ,toilet ,mushola ,dan penjual kayu bakar juga ada . …",2025-12-17
